text,user_id,username,likes,comment_id,post_id,reply_id,parent_id,is_reply,party,source_file
quien carajos es Roberto Sánchez 😐😐,6673774392000480262,idaliacruzcanaza,1586,7628021598301324048,7628016166480481556,0,,False,neutral,conteo_rapido.ndjson
Estamos jodidos😔...,7306259013494490117,ticona_glc,2370,7628017016616911624,7628016166480481556,0,,False,neutral,conteo_rapido.ndjson
"Roberto Sánchez??? Que carajjjjj, la gente no entiende tmr",6905049856966378501,dx_llcll,783,7628024438928671489,7628016166480481556,0,,False,neutral,conteo_rapido.ndjson
"Roberto Sánchez qué raro, recién me entero de el jaja",7033111506574066693,maquiavelo318,689,7628020243126158087,7628016166480481556,0,,False,neutral,conteo_rapido.ndjson
que hace la Keiko en primera 😡,6807529354755851270,princessnoemygoiti,445,7628037005716505362,7628016166480481556,0,,False,neutral,conteo_rapido.ndjson
Lo mismo me pregunto quién rayos es Roberto Sánchez?,7154169322373923846,dany43870,234,7628023631477703445,7628016166480481556,0,,False,neutral,conteo_rapido.ndjson
la segunda vuelta,7547046579494175762,magali.mandujano7,161,7628019430304514834,7628016166480481556,0,,False,neutral,conteo_rapido.ndjson
me pesa la conciencia 😔,7440663061285848119,user7530483879503,106,7628021457155310354,7628016166480481556,0,,False,neutral,conteo_rapido.ndjson
"Roberto Sánchez, en provincia es fuerte",6791633807264236550,lizarzosa,171,7628024823856038674,7628016166480481556,0,,False,neutral,conteo_rapido.ndjson
pero en otro canal sale porki segundo y no Sanches total !,7121008927600919557,silvnapineda,82,7628021420056445714,7628016166480481556,0,,False,neutral,conteo_rapido.ndjson
Keiko presidentaaaaaa 🧡🧡🧡🧡🧡🧡,6921774967345841157,_ely_angie,90,7628021782017442568,7628016166480481556,0,,False,neutral,conteo_rapido.ndjson
Belmont presidente!,7376520839883211808,mirtha.elena.cast7,210,7628016723690357526,7628016166480481556,0,,False,neutral,conteo_rapido.ndjson
"Los que votarán mañana, voten por Belmont",6845275014209324038,angelavillarrealgil,85,7628054954083894037,7628016166480481556,0,,False,neutral,conteo_rapido.ndjson
"Carajo, Carlos Spa era la mejor opción y aun así nada… nunca vamos a aprender a escoger bien.",7261234217497166853,hukhu.05,139,7628020271313027858,7628016166480481556,0,,False,neutral,conteo_rapido.ndjson
